INFO | 
DEBUG |     epoch :  3/100   iteration :   40/ 793   loss : 5.57008
DEBUG |     epoch :  3/100   iteration :   50/ 793   loss : 5.22272
DEBUG |     epoch :  3/100   iteration :   60/ 793   loss : 5.41108
DEBUG |     epoch :  3/100   iteration :   70/ 793   loss : 5.50091
DEBUG |     epoch :  3/100   iteration :   80/ 793   loss : 5.67992
DEBUG |     epoch :  3/100   iteration :   90/ 793   loss : 5.92597
DEBUG |     epoch :  3/100   iteration :  100/ 793   loss : 5.38023
DEBUG |     epoch :  3/100   iteration :  110/ 793   loss : 5.66189
DEBUG |     epoch :  3/100   iteration :  120/ 793   loss : 5.78840
DEBUG |     epoch :  3/100   iteration :  130/ 793   loss : 5.70512
DEBUG |     epoch :  3/100   iteration :  140/ 793   loss : 5.44812
DEBUG |     epoch :  3/100   iteration :  150/ 793   loss : 5.26311
DEBUG |     epoch :  3/100   iteration :  160/ 793   loss : 5.55073
DEBUG |     epoch :  3/100   iteration :  170/ 793   loss : 5.50854
DEBUG |     epoch :  3/100   iteration :  180/ 793   loss : 5.63189
DEBUG |     epoch :  3/100   iteration :  190/ 793   loss : 5.45266
DEBUG |     epoch :  3/100   iteration :  200/ 793   loss : 5.31095
DEBUG |     epoch :  3/100   iteration :  210/ 793   loss : 5.20925
DEBUG |     epoch :  3/100   iteration :  220/ 793   loss : 5.50640
DEBUG |     epoch :  3/100   iteration :  230/ 793   loss : 5.33927
DEBUG |     epoch :  3/100   iteration :  240/ 793   loss : 6.13952
DEBUG |     epoch :  3/100   iteration :  250/ 793   loss : 5.44679
DEBUG |     epoch :  3/100   iteration :  260/ 793   loss : 5.71832
DEBUG |     epoch :  3/100   iteration :  270/ 793   loss : 5.77152
DEBUG |     epoch :  3/100   iteration :  280/ 793   loss : 5.33976
DEBUG |     epoch :  3/100   iteration :  290/ 793   loss : 5.86459
DEBUG |     epoch :  3/100   iteration :  300/ 793   loss : 5.17825
DEBUG |     epoch :  3/100   iteration :  310/ 793   loss : 5.69795
DEBUG |     epoch :  3/100   iteration :  320/ 793   loss : 5.74566
DEBUG |     epoch :  3/100   iteration :  330/ 793   loss : 5.41053
DEBUG |     epoch :  3/100   iteration :  340/ 793   loss : 5.74139
DEBUG |     epoch :  3/100   iteration :  350/ 793   loss : 5.59939
DEBUG |     epoch :  3/100   iteration :  360/ 793   loss : 5.97608
DEBUG |     epoch :  3/100   iteration :  370/ 793   loss : 5.92501
DEBUG |     epoch :  3/100   iteration :  380/ 793   loss : 5.29378
DEBUG |     epoch :  3/100   iteration :  390/ 793   loss : 5.47484
DEBUG |     epoch :  3/100   iteration :  400/ 793   loss : 5.78229
DEBUG |     epoch :  3/100   iteration :  410/ 793   loss : 5.59467
DEBUG |     epoch :  3/100   iteration :  420/ 793   loss : 5.84296
DEBUG |     epoch :  3/100   iteration :  430/ 793   loss : 5.83809
DEBUG |     epoch :  3/100   iteration :  440/ 793   loss : 5.26187
DEBUG |     epoch :  3/100   iteration :  450/ 793   loss : 5.97483
DEBUG |     epoch :  3/100   iteration :  460/ 793   loss : 5.55479
DEBUG |     epoch :  3/100   iteration :  470/ 793   loss : 5.59613
DEBUG |     epoch :  3/100   iteration :  480/ 793   loss : 5.41216
DEBUG |     epoch :  3/100   iteration :  490/ 793   loss : 5.32093
DEBUG |     epoch :  3/100   iteration :  500/ 793   loss : 5.40664
DEBUG |     epoch :  3/100   iteration :  510/ 793   loss : 5.41155
